matrix,topology,scenario,scheduler,num_agents,metric,solver_a,solver_b,n_a,n_b,mean_a,mean_b,mean_diff,t_stat,p_raw,cliffs_d,p_bh,significant_bh_q05
E1_warehouse_dual_dock,warehouse_dual_dock,wear_medium,closest,40,critical_time,pibt,rhcr_pbs,30,30,0.2895266666666666,0.1914366666666667,0.0980899999999999,11.786413113509322,7.977468597295524e-15,0.9822222222222222,1.265638838132728e-13,True
E1_warehouse_dual_dock,warehouse_dual_dock,wear_medium,closest,40,critical_time,pibt,token_passing,30,30,0.2895266666666666,0.3092233333333334,-0.019696666666666807,-3.178319376560189,0.0024906934529935034,-0.4722222222222222,0.00723633571116631,True
E1_warehouse_dual_dock,warehouse_dual_dock,wear_medium,closest,40,critical_time,rhcr_pbs,token_passing,30,30,0.1914366666666667,0.3092233333333334,-0.1177866666666667,-13.000174123889469,8.701304410212291e-18,-0.9866666666666667,1.8068002687087875e-16,True
E1_warehouse_dual_dock,warehouse_dual_dock,wear_medium,closest,40,fault_tolerance,pibt,rhcr_pbs,30,30,0.6503566666666667,0.6544633333333334,-0.004106666666666703,-0.1579930306433127,0.8751292568460624,0.03222222222222222,0.9560366266891724,False
E1_warehouse_dual_dock,warehouse_dual_dock,wear_medium,closest,40,fault_tolerance,pibt,token_passing,30,30,0.6503566666666667,0.63764,0.01271666666666671,0.5552517749182004,0.5810630145359249,0.05444444444444444,0.7184421860987092,False
E1_warehouse_dual_dock,warehouse_dual_dock,wear_medium,closest,40,fault_tolerance,rhcr_pbs,token_passing,30,30,0.6544633333333334,0.63764,0.016823333333333412,0.5809829316198835,0.5635757294908509,0.0044444444444444444,0.7029760866087292,False
E1_warehouse_dual_dock,warehouse_dual_dock,wear_medium,closest,40,itae,pibt,rhcr_pbs,30,30,27224.942766666667,20431.114453333328,6793.828313333339,3.7281991644229135,0.00044219706137539985,0.4866666666666667,0.0015378873169016368,True
E1_warehouse_dual_dock,warehouse_dual_dock,wear_medium,closest,40,itae,pibt,token_passing,30,30,27224.942766666667,28318.87277999999,-1093.9300133333236,-0.536062017534466,0.5940022143954887,-0.08666666666666667,0.732516267883345,False
E1_warehouse_dual_dock,warehouse_dual_dock,wear_medium,closest,40,itae,rhcr_pbs,token_passing,30,30,20431.114453333328,28318.87277999999,-7887.7583266666625,-4.005731528348734,0.0001860488887756166,-0.4955555555555556,0.0006968197107458107,True
E1_warehouse_dual_dock,warehouse_dual_dock,wear_medium,closest,40,rapidity,pibt,token_passing,30,30,0.0,0.36666666666666664,-0.36666666666666664,-0.9999999999999999,0.3255819880161934,-0.03333333333333333,0.48984647544979576,False
E1_warehouse_dual_dock,warehouse_dual_dock,wear_medium,closest,40,rapidity,rhcr_pbs,token_passing,30,30,0.0,0.36666666666666664,-0.36666666666666664,-0.9999999999999999,0.3255819880161934,-0.03333333333333333,0.48984647544979576,False
