solver,topology,scenario,scheduler,num_agents,seed,is_baseline,avg_throughput,total_tasks,unassigned_ratio,wait_ratio,fault_tolerance,critical_time,deficit_recovery,throughput_recovery,mtbf,recovery_tick,survival_rate,impacted_area,deficit_integral,cascade_depth_avg,cascade_spread_avg,itae,rapidity,attack_rate,fleet_utilization,solver_step_avg_us,solver_step_max_us,wall_time_ms
pibt,warehouse_single_dock,burst_20pct,random,40,20000,true,0.4060,203,0.0104,0.0422,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,33.6,1156.0,19
pibt,warehouse_single_dock,burst_20pct,random,40,20000,false,0.2620,131,0.0066,0.1052,0.5689,0.2618,,1.00,,,0.8000,-35.4680,13929,0.00,1.00,22776.0000,0.00,0.2000,0.7940,32.8,1157.0,16
pibt,warehouse_single_dock,burst_20pct,random,40,30000,true,0.4120,206,0.0110,0.0426,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.8,1185.0,20
pibt,warehouse_single_dock,burst_20pct,random,40,30000,false,0.2800,140,0.0073,0.1115,0.6024,0.2618,,1.00,,,0.8000,-32.0388,13288,0.00,1.00,22199.1667,0.00,0.2000,0.7935,39.0,1558.0,19
pibt,warehouse_single_dock,burst_20pct,random,40,40000,true,0.4260,213,0.0111,0.0454,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.3,1178.0,20
pibt,warehouse_single_dock,burst_20pct,random,40,40000,false,0.2680,134,0.0068,0.1609,0.5587,0.2544,,1.00,,,0.8000,-37.0892,14004,0.00,1.00,22579.5000,0.00,0.2000,0.7936,29.1,1176.0,14
pibt,warehouse_single_dock,burst_20pct,random,40,50000,true,0.4200,210,0.0109,0.0437,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,41.8,2056.0,39
pibt,warehouse_single_dock,burst_20pct,random,40,50000,false,0.2740,137,0.0069,0.1999,0.5852,0.2893,,1.00,,,0.8000,-34.7619,13615,0.00,1.00,25246.0000,96.00,0.2000,0.7935,29.6,1188.0,15
pibt,warehouse_single_dock,burst_20pct,closest,40,42,true,0.4060,203,0.0104,0.0428,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.2,1169.0,20
pibt,warehouse_single_dock,burst_20pct,closest,40,42,false,0.3240,162,0.0084,0.0855,0.7500,0.2469,,1.00,,,0.8000,-20.1970,7851,0.00,1.00,21290.5000,0.00,0.2000,0.7920,31.2,1178.0,15
pibt,warehouse_single_dock,burst_20pct,closest,40,123,true,0.4360,218,0.0114,0.0435,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,35.4,1184.0,20
pibt,warehouse_single_dock,burst_20pct,closest,40,123,false,0.3640,182,0.0094,0.0410,0.7907,0.2344,,1.00,,,0.8000,-16.5138,7318,0.00,1.00,21152.0833,0.00,0.2000,0.7913,32.1,1176.0,16
pibt,warehouse_single_dock,burst_20pct,closest,40,456,true,0.4360,218,0.0117,0.0415,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.9,1172.0,20
pibt,warehouse_single_dock,burst_20pct,closest,40,456,false,0.3220,161,0.0086,0.0800,0.6705,0.2618,,1.00,,,0.8000,-26.1468,11667,0.00,1.00,22084.8333,0.00,0.2000,0.7925,38.4,1180.0,19
pibt,warehouse_single_dock,burst_20pct,closest,40,789,true,0.4360,218,0.0113,0.0425,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,72.7,4373.0,39
pibt,warehouse_single_dock,burst_20pct,closest,40,789,false,0.2960,148,0.0075,0.1216,0.6089,0.2718,,1.00,,,0.8000,-32.1101,13806,0.00,1.00,22925.0000,72.00,0.2000,0.7931,36.6,2019.0,18
pibt,warehouse_single_dock,burst_20pct,closest,40,1024,true,0.4320,216,0.0111,0.0411,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,35.4,1186.0,26
pibt,warehouse_single_dock,burst_20pct,closest,40,1024,false,0.3660,183,0.0092,0.0525,0.8114,0.2394,,1.00,,,0.8000,-15.2778,6486,0.00,1.00,21090.0000,0.00,0.2000,0.7910,33.1,1186.0,16
pibt,warehouse_single_dock,burst_20pct,closest,40,2048,true,0.4520,226,0.0118,0.0450,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,35.9,1182.0,21
pibt,warehouse_single_dock,burst_20pct,closest,40,2048,false,0.3420,171,0.0092,0.1573,0.6927,0.2693,,1.00,,,0.8000,-24.3363,10077,0.00,1.00,23985.1667,0.00,0.2000,0.7918,36.2,1892.0,18
pibt,warehouse_single_dock,burst_20pct,closest,40,3141,true,0.4380,219,0.0112,0.0399,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,35.1,1177.0,20
pibt,warehouse_single_dock,burst_20pct,closest,40,3141,false,0.3560,178,0.0093,0.0762,0.7644,0.2818,,1.00,,,0.8000,-18.7215,7309,0.00,1.00,24876.5000,0.00,0.2000,0.7913,31.7,1154.0,16
pibt,warehouse_single_dock,burst_20pct,closest,40,9999,true,0.4300,215,0.0112,0.0421,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,76.2,4603.0,41
pibt,warehouse_single_dock,burst_20pct,closest,40,9999,false,0.3160,158,0.0082,0.0673,0.6667,0.2818,,1.00,,,0.8000,-26.5116,11904,0.00,1.00,24619.0000,0.00,0.2000,0.7925,35.2,1925.0,17
pibt,warehouse_single_dock,burst_20pct,closest,40,1337,true,0.4340,217,0.0111,0.0445,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,33.6,1149.0,19
pibt,warehouse_single_dock,burst_20pct,closest,40,1337,false,0.3260,163,0.0084,0.1544,0.6966,0.2519,,1.00,,,0.8000,-24.8848,9564,0.00,1.00,23495.6667,0.00,0.2000,0.7921,30.0,1170.0,15
pibt,warehouse_single_dock,burst_20pct,closest,40,7777,true,0.4560,228,0.0118,0.0444,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,42.9,3240.0,29
pibt,warehouse_single_dock,burst_20pct,closest,40,7777,false,0.3800,190,0.0101,0.0503,0.7841,0.2469,,1.00,,,0.8000,-16.6667,6629,0.00,1.00,21531.6667,0.00,0.2000,0.7908,43.2,2341.0,21
pibt,warehouse_single_dock,burst_20pct,closest,40,11,true,0.4560,228,0.0122,0.0452,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,35.6,1156.0,20
