solver,topology,scenario,scheduler,num_agents,seed,is_baseline,avg_throughput,total_tasks,unassigned_ratio,wait_ratio,fault_tolerance,critical_time,deficit_recovery,throughput_recovery,mtbf,recovery_tick,survival_rate,impacted_area,deficit_integral,cascade_depth_avg,cascade_spread_avg,structural_cascade_avg,structural_cascade_max,mitigation_delta_avg,itae,rapidity,attack_rate,fleet_utilization,pbs_partial_rate,solver_step_avg_us,solver_step_max_us,wall_time_ms
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,789,true,1.2733,382,0.0120,0.1060,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.7467,220802.2,1095750.0,66245
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,789,false,0.5967,179,0.0056,0.5520,0.2252,0.4179,,1.00,,,1.0000,-53.1414,17702,0.02,1.02,5.97,13.00,-4.95,9495.3333,60.00,0.5926,0.9973,0.8000,349741.1,1558421.0,106184
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,789,true,0.6000,180,0.0057,0.5111,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.9000,814866.0,7926999.0,244465
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,789,false,0.5467,164,0.0052,0.5660,0.7193,0.1343,,1.00,,,1.0000,-8.8889,4337,0.00,1.00,5.88,15.00,-4.88,1345.0000,,0.5556,0.9981,0.8733,1303557.7,10060863.0,392335
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,789,true,1.2333,370,0.0130,0.0952,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.8533,2416678.9,11697752.0,725013
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,789,false,0.6000,180,0.0131,0.5261,0.2607,0.3731,,1.00,,,1.0000,-51.3514,18029,0.11,1.13,5.60,10.00,-4.47,8871.3333,,0.4907,0.9867,0.9667,2356911.5,16469421.0,707939
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,789,true,1.0000,300,0.0107,0.2410,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.8800,37112199.2,1462939681.0,11133665
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,789,false,0.6533,196,0.0067,0.4938,0.4317,0.2935,,1.00,,,1.0000,-34.6667,12871,0.00,1.00,7.31,13.00,-6.31,6842.3667,62.00,0.4722,0.9961,0.8267,23775276.1,176896961.0,7133564
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1024,true,1.2033,361,0.0119,0.1109,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.7267,9466488.7,58982633.0,2839951
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1024,false,1.1533,346,0.0115,0.1570,0.9405,0.1045,,1.00,,,1.0000,-4.1551,2108,0.00,1.00,3.71,7.00,-2.71,6298.4238,,0.1296,0.9881,0.7000,8427834.6,49234236.0,2528600
